date,category,sales
2018-06-15,2,0.021004033193406216
2018-06-16,2,0.023480818012436303
2018-06-17,2,0.024453573379426972
2018-06-19,2,0.01888641958680345
2018-06-20,2,0.018287800899424576
2018-06-21,2,0.018587110243114015
2018-06-22,2,0.02039044903884287
2018-06-23,2,
2018-06-24,2,0.024341332375543433
2018-06-25,2,
2018-06-26,2,0.019514969208551267
2018-06-27,2,0.019717003015541638
2018-06-28,2,0.019717003015541638
2018-06-29,2,0.019470072806997852
2018-06-30,2,0.02116117059884317
2018-07-01,2,0.022066581363503715
2018-07-02,2,0.019799313085056232
2018-07-03,2,0.01863200664466743
2018-07-04,2,0.020801999386415845
2018-07-05,2,0.02015100156389132
2018-07-06,2,0.17361750291030284
2018-07-07,2,0.02322640507030028
2018-07-08,2,0.024498469780980386
2018-07-09,2,0.021408100807386955
2018-07-10,2,0.020966619525445037
2018-07-11,2,0.02013603609670685
2018-07-12,2,0.020727172050493486
2018-07-13,2,0.021310825270687887
2018-07-14,2,0.023099198599232273
2018-07-15,2,0.025845361827582854
2018-07-16,2,0.021894478490882288
2018-07-17,2,0.022089029564280424
2018-07-18,2,0.020966619525445037
2018-07-19,2,0.02125096340195
2018-07-20,2,0.021273411602726708
2018-07-21,2,0.025860327294767324
2018-07-22,2,0.027633735156127236
2018-07-23,2,0.022081546830688185
2018-07-24,2,0.021931892158843468
2018-07-25,2,0.021954340359620177
2018-07-26,2,0.02117613606602764
2018-07-27,2,0.021348238938649067
2018-07-28,2,0.023480818012436303
2018-07-29,2,0.026623566121175387
2018-07-30,2,0.022081546830688185
2018-07-31,2,0.02170741015107639
2018-08-01,2,0.02149041087690155
2018-08-02,2,0.02119858426680435
2018-08-03,2,0.02116117059884317
2018-08-04,2,0.023952230228747165
2018-08-05,2,0.02713239200544743
2018-08-06,2,0.02237337344078539
2018-08-07,2,0.021565238212823908
2018-08-08,2,0.02121354973398882
2018-08-09,2,0.02002379509282331
2018-08-10,2,0.020622413780202183
2018-08-11,2,0.024101884900591883
2018-08-12,2,0.026301808576709242
2018-08-13,2,0.022493097178261163
2018-08-14,2,0.020689758382532307
2018-08-15,2,0.021482928143309314
2018-08-16,2,0.020667310181755598
2018-08-17,2,0.02165503101593074
2018-08-18,2,0.02365292088505773
2018-08-19,2,0.02665349705554433
2018-08-20,2,0.022358407973600915
2018-08-21,2,0.02083193032078479
2018-08-23,2,0.02110130873010528
2018-08-24,2,0.02101151592699845
2018-08-25,2,0.0246256762520484
2018-08-26,2,0.028501732252826602
2018-08-27,2,0.024790296391077587
2018-08-28,2,0.022006719494765827
2018-08-29,2,0.02051765550991088
2018-08-30,2,0.020308138969328274
2018-08-31,2,0.02057751737864877
2018-09-01,2,
2018-09-02,2,0.025583466151854594
2018-09-03,2,0.024124333101368592
2018-09-04,2,0.019776864884279526
2018-09-05,2,0.018549696575152836
2018-09-06,2,0.018661937579036374
2018-09-07,2,0.019589796544473626
2018-09-08,2,0.022014202228358065
2018-09-09,2,0.025014778398844667
2018-09-10,2,0.020562551911464295
2018-09-11,2,0.01810073255961868
2018-09-12,2,0.018108215293210914
2018-09-13,2,0.018519765640783892
2018-09-14,2,0.018893902320395686
2018-09-15,2,0.022784923788358363
2018-09-16,2,0.023346128807776055
2018-09-17,2,0.02134075620505683
2018-09-18,2,0.019462590073405617
2018-09-19,2,0.01890886778758016
2018-09-20,2,0.01896124692272581
2018-09-21,2,0.018826557718065563
2018-09-22,2,0.022306028838455266
2018-09-23,2,0.02363047268428102
2018-09-24,2,0.01892383325476463
2018-09-25,2,0.019118384328162763
2018-09-26,2,0.019432659139036672
2018-09-27,2,0.01749463113864757
2018-09-28,2,0.01798849155573514
2018-09-29,2,0.019926519556124244
2018-09-30,2,0.02268016551806706
2018-10-02,2,0.018826557718065563
2018-10-03,2,0.018145628961172094
2018-10-04,2,0.016641599509132677
2018-10-05,2,0.016596703107579262
2018-10-06,2,0.0193129354015609
2018-10-07,2,0.020682275648940072
2018-10-08,2,0.019006143324279225
2018-10-09,2,0.019597279278065864
2018-10-10,2,0.020944171324668328
2018-10-11,2,0.01703818438952118
2018-10-12,2,0.0174796656714631
2018-10-13,2,0.020510172776318645
2018-10-14,2,0.022156374166610548
2018-10-15,2,0.01834018003457023
2018-10-16,2,0.01796604335495843
2018-10-17,2,0.017472182937870864
2018-10-18,2,0.018212973563502217
2018-10-19,2,0.01952993467573574
2018-10-20,2,0.020667310181755598
2018-10-21,2,0.022141408699426074
2018-10-22,2,0.018916350521172395
2018-10-23,2,0.019806795818648467
2018-10-24,2,0.01745721747068639
2018-10-25,2,
2018-10-26,2,0.018235421764278927
2018-10-27,2,0.020330587170104983
2018-10-28,2,0.02233595977282421
2018-10-29,2,0.018482351972822712
2018-10-30,2,0.01773407861359912
2018-10-31,2,0.01674635777942398
2018-11-01,2,0.01703818438952118
2018-11-02,2,0.018190525362725512
2018-11-03,2,0.16986435610331757
2018-11-04,2,0.022238684236125142
2018-11-05,2,0.02020338069903697
2018-11-06,2,0.018781661316512148
2018-11-07,2,0.017883733285443838
2018-11-08,2,0.019380280003891023
2018-11-09,2,0.020233311633405915
2018-11-10,2,0.021587686413600617
2018-11-11,2,0.02246316624389222
2018-11-12,2,0.025067157533990317
2018-11-13,2,0.017629320343307817
2018-11-14,2,0.01746470020427863
2018-11-15,2,0.01768169947845347
2018-11-16,2,0.01760687214253111
2018-11-17,2,0.021408100807386955
2018-11-18,2,0.024318884174766724
2018-11-19,2,0.01952993467573574
2018-11-20,2,0.01879662678369662
2018-11-21,2,0.018407524636900353
2018-11-22,2,0.023570610815543135
2018-11-23,2,0.02045779364117299
2018-11-24,2,0.02146796267612484
2018-11-25,2,0.0241467813021453
2018-11-26,2,0.01872179944777426
2018-11-27,2,0.01741980380272521
2018-11-28,2,0.017195321794958134
2018-11-29,2,0.01634229016544324
2018-11-30,2,0.01765925127767676
2018-12-01,2,0.019425176405444437
2018-12-02,2,0.02118361879961988
2018-12-03,2,0.019485038274182326
2018-12-04,2,0.01764428581049229
2018-12-05,2,0.0177714922815603
